,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID
346,Ulm Magirusstrasse,Hard Coal,Steam Turbine,PP,DE,135,,,0.0,0.0,0.0,1978.0,1978.0,,2030.0,48.3967,9.9654,,
347,Munich North,Hard Coal,Steam Turbine,PP,DE,365,,,0.0,0.0,0.0,1991.0,1991.0,,2030.0,48.1812,11.6398,,
348,Voelklingen-Fenne model,Hard Coal,Steam Turbine,PP,DE,466,,,0.0,0.0,0.0,1982.0,1982.0,,2024.0,49.2491,6.879,,
349,Walheim,Hard Coal,Steam Turbine,PP,DE,267,,,0.0,0.0,0.0,1964.0,1964.0,,2030.0,49.0177,9.1577,,
350,Wedel,Hard Coal,Steam Turbine,PP,DE,290,,,0.0,0.0,0.0,1961.0,1961.0,,2030.0,53.5665,9.7257,,
351,Wolfsburg North,Hard Coal,Steam Turbine,PP,DE,140,,,0.0,0.0,0.0,2000.0,2000.0,,2030.0,52.4317,10.787,,
352,Wolfsburg West,Hard Coal,Steam Turbine,PP,DE,306,,,0.0,0.0,0.0,1985.0,1985.0,,2024.0,52.4295,10.7683,,
353,Zolling-Leininger,Hard Coal,Steam Turbine,PP,DE,474,,,0.0,0.0,0.0,1986.0,1986.0,,2025.0,48.4552,11.7995,,
354,Wilhelmshaven New,Hard Coal,Steam Turbine,PP,DE,795,,,0.0,0.0,0.0,2015.0,2015.0,,2030.0,53.5788,8.1327,,
355,Frankfurt/Oder,Lignite,Steam Turbine,PP,DE,49,,,0.0,0.0,0.0,1997.0,1997.0,,2024.0,52.3182,14.5315,,
356,Fortuna Nord,Lignite,Steam Turbine,PP,DE,16,,,0.0,0.0,0.0,1984.0,1984.0,,2030.0,50.9869,6.6581,,
357,Ville/Berrenrath,Lignite,Steam Turbine,PP,DE,57,,,0.0,0.0,0.0,1991.0,1991.0,,2030.0,50.8671,6.8361,,
358,Datteln IV,Hard Coal,Steam Turbine,PP,DE,1100,,,0.0,0.0,0.0,2020.0,2020.0,,2030.0,51.6293,7.3307,,
359,Esbjerg,Hard Coal,Steam Turbine,PP,DK,407,,,0.0,0.0,0.0,1992.0,1992.0,,2024.0,55.4551,8.4578,,
360,Fyns,Hard Coal,Steam Turbine,PP,DK,362,,,0.0,0.0,0.0,1974.0,1974.0,,2024.0,55.4294,10.4102,,
361,Studstrup,Hard Coal,Steam Turbine,PP,DK,380,,,0.0,0.0,0.0,1984.0,1984.0,,2024.0,56.2515,10.3438,,
362,Nordjylland,Hard Coal,Steam Turbine,PP,DK,411,,,0.0,0.0,0.0,1977.0,1977.0,,2028.0,57.0776,10.0404,,
363,Agios Dimitrios,Lignite,Steam Turbine,PP,EL,1595,,,0.0,0.0,0.0,1984.0,1984.0,,2025.0,40.3938,21.9251,,
364,Melitis (Florina),Lignite,Steam Turbine,PP,EL,330,,,0.0,0.0,0.0,2003.0,2003.0,,2025.0,40.811,21.601,,
365,Megalopoli B,Lignite,Steam Turbine,PP,EL,300,,,0.0,0.0,0.0,1991.0,1991.0,,2025.0,37.416,22.067,,
366,Ptolemaida V,Lignite,Steam Turbine,PP,EL,660,,,0.0,0.0,0.0,2023.0,2023.0,,2028.0,40.4809,21.7269,,
367,Alcudia II,Hard Coal,Steam Turbine,PP,ES,260,,,0.0,0.0,0.0,1981.0,1981.0,,2025.0,39.8106,3.0913,,
368,As Pontes,Hard Coal,Steam Turbine,PP,ES,735,,,0.0,0.0,0.0,1976.0,1976.0,,2024.0,43.4433,-7.8608,,
369,Abono,Hard Coal,Steam Turbine,PP,ES,916,,,0.0,0.0,0.0,1974.0,1974.0,,2040.0,43.5527,-5.7235,,
370,Los Barrios,Hard Coal,Steam Turbine,PP,ES,589,,,0.0,0.0,0.0,1985.0,1985.0,,2030.0,36.1837,-5.4184,,
371,La Pereda,Hard Coal,Steam Turbine,PP,ES,54,,,0.0,0.0,0.0,1995.0,1995.0,,2030.0,43.272737,-5.809021,,
372,Soto de Ribera,Hard Coal,Steam Turbine,PP,ES,350,,,0.0,0.0,0.0,1962.0,1962.0,,2040.0,43.3116,-5.8732,,
373,Suomenoja,Hard Coal,Steam Turbine,PP,FI,80,,,0.0,0.0,0.0,1977.0,1977.0,,2025.0,60.1491,24.7174,,
374,Salmisaari,Hard Coal,Steam Turbine,PP,FI,177,,,0.0,0.0,0.0,1984.0,1984.0,,2025.0,60.1648,24.9029,,
375,Naantali 1,Hard Coal,Steam Turbine,PP,FI,125,,,0.0,0.0,0.0,1960.0,1960.0,,2027.0,60.4585,22.0536,,
376,Meri-Pori,Hard Coal,Steam Turbine,PP,FI,614,,,0.0,0.0,0.0,1994.0,1994.0,,2029.0,61.6322,21.4047,,
377,Vaskiluoto 2,Hard Coal,Steam Turbine,PP,FI,250,,,0.0,0.0,0.0,1981.0,1981.0,,2029.0,63.0909,21.5536,,
378,Martinlaakso,Hard Coal,Steam Turbine,PP,FI,80,,,0.0,0.0,0.0,1980.0,1980.0,,2029.0,60.2821,24.8367,,
379,Cordemais,Hard Coal,Steam Turbine,PP,FR,1260,,,0.0,0.0,0.0,1983.0,1983.0,,2040.0,47.2762,-1.8776,,
380,Emile-Huchet,Hard Coal,Steam Turbine,PP,FR,647,,,0.0,0.0,0.0,1958.0,1958.0,,2027.0,49.1525,6.6981,,
381,Le Gol,Hard Coal,Steam Turbine,PP,FR,122,,,0.0,0.0,0.0,1995.0,1995.0,,2040.0,-21.279393,55.397028,,
382,Plomin,Hard Coal,Steam Turbine,PP,HR,335,,,0.0,0.0,0.0,1969.0,1969.0,,2040.0,45.1367,14.1626,,
383,Oroszlany,Hard Coal,Steam Turbine,PP,HU,250,,,0.0,0.0,0.0,1961.0,1961.0,,2040.0,47.5017,18.271,,
384,Matra,Lignite,Steam Turbine,PP,HU,884,,,0.0,0.0,0.0,1969.0,1969.0,,2027.0,47.79027,20.06358,,
385,Moneypoint,Hard Coal,Steam Turbine,PP,IE,915,,,0.0,0.0,0.0,1985.0,1985.0,,2040.0,52.6075,-9.4227,,
386,Brindisi Sud,Hard Coal,Steam Turbine,PP,IT,1980,,,0.0,0.0,0.0,1991.0,1991.0,,2025.0,40.5639,18.0322,,
387,Brindisi Nord,Hard Coal,Steam Turbine,PP,IT,640,,,0.0,0.0,0.0,1979.0,1979.0,,2040.0,40.6431,17.9808,,
388,Torrevaldaliga Nord,Hard Coal,Steam Turbine,PP,IT,1980,,,0.0,0.0,0.0,2009.0,2009.0,,2025.0,42.1283,11.7578,,
389,Monfalcone,Hard Coal,Steam Turbine,PP,IT,336,,,0.0,0.0,0.0,1965.0,1965.0,,2040.0,45.7967,13.5456,,
390,Fiume Santo,Hard Coal,Steam Turbine,PP,IT,640,,,0.0,0.0,0.0,1992.0,1992.0,,2040.0,40.8517,8.2992,,
391,Sulcis Power Station,Hard Coal,Steam Turbine,PP,IT,590,,,0.0,0.0,0.0,1986.0,1986.0,,2027.0,39.223768,8.431664,,
392,Kosovo A,Lignite,Steam Turbine,PP,KS,610,,,0.0,0.0,0.0,1962.0,1962.0,,2040.0,42.6765,21.0859,,
393,Kosovo B,Lignite,Steam Turbine,PP,KS,678,,,0.0,0.0,0.0,1983.0,1983.0,,2040.0,42.6931,21.056,,
394,Pljevlja Power Station,Lignite,Steam Turbine,PP,ME,225,,,0.0,0.0,0.0,1982.0,1982.0,,2040.0,43.334574,19.32714,,
395,Bitola,Lignite,Steam Turbine,PP,MK,675,,,0.0,0.0,0.0,1982.0,1982.0,,2040.0,41.0583,21.4843,,
396,Oslomej,Lignite,Steam Turbine,PP,MK,125,,,0.0,0.0,0.0,1980.0,1980.0,,2040.0,41.582133,21.000288,,
397,Amer,Hard Coal,Steam Turbine,PP,NL,652,,,0.0,0.0,0.0,1981.0,1981.0,,2024.0,51.7078,4.8439,,
398,Maasvlakte 3,Hard Coal,Steam Turbine,PP,NL,1196,,,0.0,0.0,0.0,2016.0,2016.0,,2029.0,51.9586,4.0264,,
399,Maasvlakte New,Hard Coal,Steam Turbine,PP,NL,870,,,0.0,0.0,0.0,2015.0,2015.0,,2029.0,51.944,4.0716,,
